;dM;A
326;10.0;3.8508523600661954e+26
327;15.0;3.715525312585604e+26
328;20.0;3.493067582195602e+26
329;25.0;3.223221779282905e+26
331;25.0;3.223221779282905e+26
333;25.0;3.223221779282905e+26
330;30.0;2.944988785739312e+26
332;40.0;1.5201361174039472e+26
334;50.0;4.216794732250938e+25
335;55.0;2.605042433264984e+25
336;60.0;1.6816814315352491e+25
337;70.0;7.766620254261704e+24
130;70.96774193548387;7.255585563208911e+24
338;80.0;3.8553137624441327e+24
339;89.99999999999999;1.963271671292603e+24
340;100.0;1.0064949845946844e+24
129;106.4516129032;6.581094134159117e+23
128;141.9354838709;6.801696351010516e+22
127;177.4193548387;1.2334189737220317e+22
126;212.9032258064;3.217956648200251e+21
125;248.3870967741;7.603532262319034e+20
124;283.8709677419;1.7348832444379316e+20
123;319.3548387096;1.2938770372272988e+19
122;354.8387096774;3.199898716622352e+17
131;354.8387096774;3.199898716622352e+17
121;390.3225806451;4887411689655565.0
120;425.8064516129;16943650224463.96
