;dM;C;A;Ath
326;10.0;1.2264060707092286e+23;3.8508523600661954e+26;1.2264060707092286e+23
327;15.0;1.1968197765350343e+23;3.715525312585604e+26;1.1968197765350343e+23
328;20.0;1.1548767623901368e+23;3.493067582195602e+26;1.1548767623901368e+23
329;25.0;1.1052847557067873e+23;3.223221779282905e+26;1.1052847557067873e+23
331;25.0;1.1052847557067873e+23;3.223221779282905e+26;1.1052847557067873e+23
333;25.0;1.1052847557067873e+23;3.223221779282905e+26;1.1052847557067873e+23
330;30.0;1.0553519172668458e+23;2.944988785739312e+26;1.0553519172668458e+23
332;40.0;9.732476806640627e+22;1.5201361174039472e+26;9.732476806640627e+22
334;50.0;9.12608762741089e+22;4.216794732250938e+25;9.12608762741089e+22
335;55.0;8.839173984527589e+22;2.605042433264984e+25;8.839173984527546e+22
336;60.0;8.538590316772462e+22;1.6816814315352491e+25;8.538590316750395e+22
337;70.0;7.871072845458985e+22;7.766620254261704e+24;7.871072771322915e+22
130;70.96774193548387;7.801959838867188e+22;7.255585563208911e+24;7.801959707637549e+22
338;80.0;7.133272495269776e+22;3.8553137624441327e+24;7.133260752323652e+22
339;89.99999999999999;6.35763282775879e+22;1.963271671292603e+24;6.35725388773367e+22
340;100.0;5.578137063980104e+22;1.0064949845946844e+24;5.5735787563667964e+22
129;106.4516129032;5.091222772598268e+22;6.581094134159117e+23;5.07589887447951e+22
128;141.9354838709;3.001933965682984e+22;6.801696351010516e+22;2.464596504990033e+22
127;177.4193548387;1.818909358978272e+22;1.2334189737220317e+22;8.335509505120811e+21
126;212.9032258064;1.0735995268821718e+22;3.217956648200251e+21;2.6693083616217347e+21
125;248.3870967741;5.857425022125244e+21;7.603532262319034e+20;6.990849039506388e+20
124;283.8709677419;2.701165628433228e+21;1.7348832444379316e+20;1.6632147098550724e+20
123;319.3548387096;9.335450559854507e+20;1.2938770372272988e+19;1.2820149871468106e+19
122;354.8387096774;2.0219152569770813e+20;3.199898716622352e+17;3.1965256189077754e+17
131;354.8387096774;2.0219152569770813e+20;3.199898716622352e+17;3.1965256189077754e+17
121;390.3225806451;2.288322784006596e+19;4887411689655565.0;4886715869918972.0
120;425.8064516129;1.250330166658387e+18;16943650224463.96;16943497152853.475
