;M;d_40;d_41;d_42;d_43;d_44
0;10;106.28048872852548;98.27980723806293;80.25929484956835;53.22787675167587;35.83866627993811
1;16;150.0;138.43773173369928;114.51912787732586;77.60041620366991;46.5737661790725
2;25;206.10732110784105;185.79016396180268;141.76631181182043;98.11311560753455;57.06155099443683
3;40;260.1742777419833;223.08935787240586;166.63218399199053;104.30125047599047;62.44832087565087
4;63;297.4996684324631;250.04410930759775;172.3332754832843;108.2298859153617;62.689424586563646
5;100;329.7414551562688;267.2256157383373;168.43979990231279;107.83131085113398;62.605511972252785
6;158;341.3608883323937;252.62849750534818;160.17360195524887;106.4430440254421;60.8911016241121
7;251;338.3344776002132;236.24092056296845;153.25667846208114;102.57030575967613;57.16854646432795
8;398;325.3474305174821;214.19587203448643;145.8101786271403;96.10262841066012;52.601271311783606
9;631;301.86822683815984;193.8891896093438;136.19741379508298;86.7896960920278;46.62143883834586
10;1000;266.34837359480963;175.9387074325477;123.15595424096493;74.61686285504722;39.65762650311355
