;R;N
0;0.0;1.0
1;0.0005;0.99603504
2;0.001;0.98423433
3;0.0015;0.9648764
4;0.002;0.9384132
5;0.0025000002;0.9054527
6;0.003;0.8667358
7;0.0035;0.82310826
8;0.004;0.77549034
9;0.0045000003;0.724845
10;0.0050000004;0.6721453
11;0.0055000004;0.6183444
12;0.006;0.5643479
13;0.0065;0.51099044
14;0.007;0.459016
15;0.0075000003;0.40906486
16;0.008;0.36166435
17;0.0085;0.3172258
18;0.009000001;0.27604553
19;0.009500001;0.2383099
20;0.010000001;0.20410456
21;0.010500001;0.17342532
22;0.011000001;0.14619136
23;0.011500001;0.12225882
24;0.012;0.101435006
25;0.0125;0.08349201
26;0.013;0.068179086
27;0.0135;0.055234
28;0.014;0.04439266
29;0.0145000005;0.035396922
30;0.015000001;0.028000688
31;0.015500001;0.021974606
32;0.016;0.017108928
33;0.0165;0.013215214
34;0.017;0.010126844
35;0.0175;0.007698819
36;0.018000001;0.0058066123
37;0.0185;0.0043448145
38;0.019000001;0.0032252865
39;0.0195;0.0023752814
40;0.020000001;0.0017354448
41;0.0205;0.0012579286
42;0.021000002;0.0009045863
43;0.0215;0.00064534834
44;0.022000002;0.00045675875
45;0.0225;0.00032072252
46;0.023000002;0.00022341941
47;0.023500001;0.00015440503
48;0.024;0.000105864776
49;0.024500001;7.2009636e-05
50;0.025;4.859367e-05
51;0.025500001;3.2532498e-05
52;0.026;2.1607506e-05
53;0.026500002;1.4237723e-05
54;0.027;9.307348e-06
55;0.027500002;6.036162e-06
56;0.028;3.883693e-06
57;0.028500002;2.4790131e-06
58;0.029000001;1.5698633e-06
59;0.029500002;9.862648e-07
60;0.030000001;6.147163e-07
61;0.030500002;3.8010555e-07
62;0.031000001;2.3317631e-07
63;0.0315;1.4191035e-07
64;0.032;8.568232e-08
65;0.032500003;5.1323738e-08
66;0.033;3.04998e-08
67;0.0335;1.7981346e-08
68;0.034;1.05171125e-08
69;0.034500003;6.102694e-09
70;0.035;3.513149e-09
71;0.0355;2.006407e-09
72;0.036000002;1.136819e-09
73;0.036500003;6.3901634e-10
74;0.037;3.5635672e-10
75;0.0375;1.9715354e-10
76;0.038000003;1.08211475e-10
77;0.038500004;5.8923845e-11
78;0.039;3.1831746e-11
79;0.0395;1.7059932e-11
80;0.040000003;9.070749e-12
81;0.0405;4.784765e-12
82;0.041;2.50394e-12
83;0.041500002;1.2999859e-12
84;0.042000003;6.695763e-13
85;0.0425;3.4214856e-13
86;0.043;1.73451e-13
87;0.043500002;8.7234277e-14
88;0.044000003;4.3525872e-14
89;0.0445;2.1545593e-14
90;0.045;1.05807815e-14
91;0.045500003;5.1549493e-15
92;0.046000004;2.49163e-15
93;0.0465;1.1947905e-15
94;0.047000002;5.683891e-16
95;0.047500003;2.682566e-16
96;0.048;1.2560472e-16
97;0.0485;5.8346144e-17
98;0.049000002;2.6888247e-17
99;0.049500003;1.2293208e-17
100;0.05;5.575948e-18
101;0.0505;2.5091095e-18
102;0.051000003;1.1201331e-18
103;0.051500004;4.960976e-19
104;0.052;2.1798096e-19
105;0.052500002;9.5019814e-20
106;0.053000003;4.109247e-20
107;0.053500004;1.7630219e-20
108;0.054;7.504191e-21
109;0.054500002;3.168844e-21
110;0.055000003;1.3275276e-21
111;0.055500004;5.5174537e-22
112;0.056;2.2749908e-22
113;0.056500003;9.306212e-23
114;0.057000004;3.7767243e-23
115;0.0575;1.5205715e-23
116;0.058000002;6.0736172e-24
117;0.058500003;2.4067839e-24
118;0.059000004;9.461809e-25
119;0.0595;3.6903031e-25
120;0.060000002;1.4279039e-25
121;0.060500003;5.481297e-26
122;0.061000004;2.0874535e-26
123;0.0615;7.8868934e-27
124;0.062000003;2.9562258e-27
125;0.0625;1.0993179e-27
126;0.063;4.055612e-28
127;0.0635;1.484358e-28
128;0.064;5.3897053e-29
129;0.064500004;1.9415358e-29
130;0.065000005;6.938622e-30
131;0.065500006;2.4601135e-30
132;0.066;8.6534205e-31
133;0.0665;3.0196823e-31
134;0.067;1.0454151e-31
135;0.0675;3.5905722e-32
136;0.068;1.2234496e-32
137;0.068500005;4.1358285e-33
138;0.069000006;1.3870316e-33
139;0.06950001;4.614851e-34
140;0.07;1.523303e-34
141;0.0705;4.9883756e-35
142;0.071;1.6206008e-35
143;0.0715;5.2233246e-36
144;0.072000004;1.6701883e-36
145;0.072500005;5.298195e-37
146;0.07300001;1.667431e-37
147;0.0735;5.206172e-38
148;0.074;1.6126493e-38
149;0.0745;4.955629e-39
150;0.075;1.51084e-39
151;0.075500004;4.5696e-40
152;0.076000005;1.37117e-40
153;0.076500006;4.0818e-41
154;0.07700001;1.2055e-41
155;0.0775;3.533e-42
156;0.078;1.027e-42
157;0.0785;2.96e-43
158;0.079;8.4e-44
159;0.079500005;2.4e-44
160;0.080000006;7e-45
161;0.08050001;1e-45
162;0.081;0.0
163;0.0815;0.0
164;0.082;0.0
165;0.0825;0.0
166;0.083000004;0.0
167;0.083500005;0.0
168;0.08400001;0.0
169;0.08450001;0.0
170;0.085;0.0
171;0.0855;0.0
172;0.086;0.0
173;0.086500004;0.0
174;0.087000005;0.0
175;0.087500006;0.0
176;0.08800001;0.0
177;0.0885;0.0
178;0.089;0.0
179;0.0895;0.0
180;0.09;0.0
181;0.090500005;0.0
182;0.091000006;0.0
183;0.09150001;0.0
184;0.09200001;0.0
185;0.0925;0.0
186;0.093;0.0
187;0.0935;0.0
188;0.094000004;0.0
189;0.094500005;0.0
190;0.095000006;0.0
191;0.09550001;0.0
192;0.096;0.0
193;0.0965;0.0
194;0.097;0.0
195;0.097500004;0.0
196;0.098000005;0.0
197;0.098500006;0.0
198;0.09900001;0.0
199;0.09950001;0.0
200;0.1;0.0
